algo,settings,numeric_type,problem,optval,elapsed_seconds,warnings,errors
guesswork_upper_bound(max_time=20),Mosek,Float64,2qutrits(1),1.4999999995692301,8.8869137,false,false
guesswork_upper_bound(max_time=60),Mosek,Float64,2qutrits(1),1.4999999995692301,8.8707072,false,false
guesswork_upper_bound(max_time=240),Mosek,Float64,2qutrits(1),1.4999999995692301,8.9047032,false,false
SDP,SCS,Float64,2qutrits(1),1.2551450482354998,8.4399617,false,false
dual_SDP,SCS,Float64,2qutrits(1),1.2551449788825657,8.3335215,false,false
guesswork_upper_bound(max_time=20),SCS,Float64,2qutrits(1),1.499999997301028,8.699171,false,false
guesswork_upper_bound(max_time=60),SCS,Float64,2qutrits(1),1.499999997301028,8.6579571,false,false
guesswork_upper_bound(max_time=240),SCS,Float64,2qutrits(1),1.499999997301028,8.7902263,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,3qutrits(1),NaN,NaN,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,3qutrits(1),NaN,NaN,false,false
MISDP,"Pajarito(SCS, Cbc, MSD=false)",Float64,3qutrits(1),NaN,NaN,false,false
SDP,Mosek,Float64,3qutrits(1),1.471036475781681,8.8248976,false,false
dual_SDP,Mosek,Float64,3qutrits(1),1.4710363761428709,8.5505169,false,false
guesswork_upper_bound(max_time=20),Mosek,Float64,3qutrits(1),1.5562851836654978,9.5011555,false,false
guesswork_upper_bound(max_time=60),Mosek,Float64,3qutrits(1),1.5562851836654978,9.4520119,false,false
guesswork_upper_bound(max_time=240),Mosek,Float64,3qutrits(1),1.5562851836654978,9.4534974,false,false
SDP,SCS,Float64,3qutrits(1),1.4710366265761445,8.4558049,false,false
dual_SDP,SCS,Float64,3qutrits(1),1.4710362238910173,8.2458754,false,false
guesswork_upper_bound(max_time=20),SCS,Float64,3qutrits(1),1.5562846392846454,9.6662718,false,false
guesswork_upper_bound(max_time=60),SCS,Float64,3qutrits(1),1.5562846392846454,9.107038,false,false
guesswork_upper_bound(max_time=240),SCS,Float64,3qutrits(1),1.5562846392846454,9.0146762,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,2qubits(2),NaN,NaN,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,2qubits(2),NaN,NaN,false,false
MISDP,"Pajarito(SCS, Cbc, MSD=false)",Float64,2qubits(2),NaN,NaN,false,false
SDP,Mosek,Float64,2qubits(2),1.7503204060173534,8.8412297,false,false
dual_SDP,Mosek,Float64,2qubits(2),1.750320341208066,8.6292731,false,false
guesswork_upper_bound(max_time=20),Mosek,Float64,2qubits(2),1.7763899365151006,10.4054094,false,false
guesswork_upper_bound(max_time=60),Mosek,Float64,2qubits(2),1.7745147449590317,10.4099024,false,false
guesswork_upper_bound(max_time=240),Mosek,Float64,2qubits(2),1.7763899365182758,10.4019568,false,false
SDP,SCS,Float64,2qubits(2),1.7503204685792013,8.8986134,false,false
dual_SDP,SCS,Float64,2qubits(2),1.7503217558950943,8.3211818,false,false
guesswork_upper_bound(max_time=20),SCS,Float64,2qubits(2),1.7763899165999122,10.916788,false,false
guesswork_upper_bound(max_time=60),SCS,Float64,2qubits(2),1.7745140186833968,10.2178801,false,false
guesswork_upper_bound(max_time=240),SCS,Float64,2qubits(2),1.7744435625346329,10.0230561,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,3qubits(2),NaN,NaN,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,3qubits(2),NaN,NaN,false,false
MISDP,"Pajarito(SCS, Cbc, MSD=false)",Float64,3qubits(2),NaN,NaN,false,false
SDP,Mosek,Float64,3qubits(2),NaN,NaN,false,false
dual_SDP,Mosek,Float64,3qubits(2),NaN,NaN,false,false
guesswork_upper_bound(max_time=20),Mosek,Float64,3qubits(2),2.7672182086517387,32.2916971,false,false
guesswork_upper_bound(max_time=60),Mosek,Float64,3qubits(2),2.7676240967276766,24.1154537,false,false
guesswork_upper_bound(max_time=240),Mosek,Float64,3qubits(2),2.7676240668569907,30.4157592,false,false
SDP,SCS,Float64,3qubits(2),NaN,NaN,false,false
dual_SDP,SCS,Float64,3qubits(2),NaN,NaN,false,false
guesswork_upper_bound(max_time=20),SCS,Float64,3qubits(2),2.7672184622684357,35.6556466,false,false
guesswork_upper_bound(max_time=60),SCS,Float64,3qubits(2),2.7672181040034545,54.6013249,false,false
guesswork_upper_bound(max_time=240),SCS,Float64,3qubits(2),2.7672047842754983,75.4263761,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,Y(2),NaN,NaN,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,Y(2),NaN,NaN,false,false
MISDP,"Pajarito(SCS, Cbc, MSD=false)",Float64,Y(2),NaN,NaN,false,false
SDP,Mosek,Float64,Y(2),NaN,NaN,false,false
dual_SDP,Mosek,Float64,Y(2),NaN,NaN,false,false
guesswork_upper_bound(max_time=20),Mosek,Float64,Y(2),2.320856634278685,34.2465309,false,false
guesswork_upper_bound(max_time=60),Mosek,Float64,Y(2),2.320856772167582,30.996122,false,false
guesswork_upper_bound(max_time=240),Mosek,Float64,Y(2),2.3208567801177336,30.2602784,false,false
SDP,SCS,Float64,Y(2),NaN,NaN,false,false
dual_SDP,SCS,Float64,Y(2),NaN,NaN,false,false
guesswork_upper_bound(max_time=20),SCS,Float64,Y(2),2.320856591038295,82.8359903,false,false
guesswork_upper_bound(max_time=60),SCS,Float64,Y(2),2.320856747573597,50.7868997,false,false
guesswork_upper_bound(max_time=240),SCS,Float64,Y(2),2.3208566985412618,37.362088,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,BB84(2),NaN,NaN,false,false
